"id"|"arenaId"|"name"|"address"|"short"
486|486|"Sportzentrum Kaufering"|"Bayernstraße 17, 86916 Kaufering"|"Kaufering, Sportzentrum Kaufering"
430|430|"Max-Schmeling-Halle"|"Am Falkplatz 1, 10437 Berlin"|"Berlin, Max-Schmeling-Halle"
510|510|"Arena Leipzig (kleine Halle)"|"Am Sportforum 1, 04105 Leipzig"|"Leipzig, Arena Leipzig (kleine Halle)"
37|37|"Richard-Hartmann-Halle"|"Fabrikstraße 9, 09111 Chemnitz"|"Chemnitz, Richard-Hartmann-Halle"
9|9|"Sporthalle West"|"Thomas-Müntzer-Straße 17, 06667 Weißenfels"|"Weißenfels, Sporthalle West"
475|475|"Stadtfeldhalle"|"Große Dammstraße 38, 38855 Wernigerode"|"Wernigerode, Stadtfeldhalle"
174|174|"Harzlandhalle"|"Harzburger Straße 24 A, 38871 Ilsenburg (Harz)"|"Ilsenburg (Harz), Harzlandhalle"
38|38|"Stadthalle"|"Beuditzstraße 69A, 06667 Weißenfels"|"Weißenfels, Stadthalle"
128|128|"Sporthalle Lehnerstraße "|"Lehnerstraße  65, 45481 Mülheim an der Ruhr"|"Mülheim an der Ruhr, Sporthalle Lehnerstraße "
488|488|"Muldentalhalle"|"Gebäude 51 / Südstraße 80, 04668 Grimma"|"Grimma, Muldentalhalle"
242|242|"Sporthalle Hoheluft"|"Lokstedter Steindamm 52, 22529 Hamburg"|"Hamburg, Sporthalle Hoheluft"
160|160|"Sportpark Nord"|"Kölnstraße 250, 53117 Bonn"|"Bonn, Sportpark Nord"
268|268|"Sportzentrum Schoofmoor"|"Zum Schoofmoor , 28865 Lilienthal"|"Lilienthal, Sportzentrum Schoofmoor"
63|63|"J.-A.-Hülße-Gymnasium"|"Hülßestraße 16, 01237 Dresden"|"Dresden, J.-A.-Hülße-Gymnasium"
492|492|"121. Oberschule"|"Gamigstraße 28/30, 01239 Dresden"|"Dresden, 121. Oberschule"
290|290|"Halle am Bruchweg"|"Bruchweg 5, 41564 Kaarst"|"Kaarst, Halle am Bruchweg"
13|13|"Reclam-Gymnasium"|"Tarostraße 4, 04103 Leipzig"|"Leipzig, Reclam-Gymnasium"
