"id"|"gameOperationId"|"season"|"sortKey"|"leagueCategoryId"|"leagueClassId"|"leagueSystemId"|"leagueType"|"name"|"isFemale"|"shortName"|"seasonId"|"isLegacyLeague"|"fieldSize"|"leagueModus"|"hasPreround"|"tableModus"|"periods"|"periodLength"|"overtimeLength"
319|1|"6"|"11"|"4"|"10"|"1"|"cup"|"Play-Offs 1. FBL Herren"|False|"PO 1. FBL Herren"|6|True|""|""|False|"classic"|""|""|""
4|1|"6"|"12"|"4"|"10"|"1"|"cup"|"Play-Offs FBL Damen"|True|"PO Da"|6|True|""|""|False|"classic"|""|""|""
33|1|"6"|"14"|"4"|"10"|"1"|"cup"|"Play-Down 1. FBL Herren"|False|"PD 1. FBL Herren"|6|True|""|""|False|"classic"|""|""|""
285|1|"6"|"15"|"4"|"20"|"1"|"cup"|"Play-Offs 2. FBL Herren"|False|"PO 2. BL"|6|True|""|""|False|"classic"|""|""|""
118|1|"6"|"16"|"4"|"10"|"1"|"cup"|"Relegation 1./2. FBL Herren"|False|"Reli 1./2. FBL"|6|True|""|""|False|"classic"|""|""|""
11|1|"6"|"19"|"4"|"10"|"1"|"cup"|"Regionalligameisterschaft Nord/West"|False|"RegioM NW"|6|True|""|""|False|"classic"|""|""|""
197|1|"6"|"21"|"1"|"10"|"1"|"league"|"1. FBL Herren"|False|"1. FBL Herren"|6|True|""|""|False|"classic"|""|""|""
378|1|"6"|"22"|"1"|"20"|"1"|"league"|"2. FBL Nord/West"|False|"2. FBL NW"|6|True|""|""|False|"classic"|""|""|""
66|1|"6"|"23"|"1"|"20"|"1"|"league"|"2. FBL Süd/Ost"|False|"2. FBL SO"|6|True|""|""|False|"classic"|""|""|""
168|1|"6"|"50"|"100"|"10"|"1"|"champ"|"Stena Line Damen Kleinfeld Deutsche Meisterschaft"|True|"Damen DM (KF)"|6|True|""|""|False|"classic"|""|""|""
55|1|"6"|"51"|"102"|"10"|"1"|"champ"|"Stena Line U17 Junioren Deutsche Meisterschaft"|False|"U17 DM (GF)"|6|True|""|""|False|"classic"|""|""|""
