"playerId"|"goals"|"assists"|"matches"|"penalties"
14580|0|0|15|0
13899|133|85|188|47
5406|11|7|17|3
3031|44|23|219|20
14200|31|23|119|17
1302|23|35|47|5
4431|132|99|180|77
6822|17|11|22|3
12653|41|29|113|19
14683|36|7|51|2
636|95|121|195|14
14628|65|113|143|5
1468|158|106|128|13
10202|0|0|56|1
8308|64|59|59|12
8596|24|23|26|7
14308|52|22|67|2
15297|0|0|64|6
8689|18|17|52|18
11921|52|40|178|25
3940|145|144|278|16
6312|123|104|128|5
6641|21|17|20|9
8665|26|6|18|10
4777|23|28|161|8
2608|192|213|204|54
1876|5|7|18|4
15592|250|231|166|21
14634|39|44|129|26
3743|1|3|223|1
2568|24|11|65|5
7061|21|12|86|13
9850|5|9|131|0
14288|31|14|84|25
13844|93|37|146|20
13209|0|1|15|2
6441|14|19|56|7
8920|28|29|43|5
9935|66|69|178|28
7202|21|26|40|5
2600|48|42|155|17
2860|38|30|76|8
11109|114|34|70|18
10115|11|11|51|5
3645|48|28|58|6
10099|38|34|169|22
13695|9|13|64|9
15528|37|46|216|17
15157|20|15|42|2
3525|0|1|66|0
11815|54|61|119|13
7082|75|32|143|34
10175|17|8|19|8
1452|142|99|200|27
7764|107|68|124|13
4541|4|20|52|8
13870|40|41|58|21
1291|23|22|203|21
9347|2|13|20|1
3779|4|10|53|15
102|2|1|16|2
5129|0|2|17|0
6940|13|15|81|3
519|95|120|93|20
14652|21|20|20|5
11301|0|2|126|3
8176|49|31|60|28
10804|153|179|166|32
5554|3|3|42|9
6467|7|12|34|1
4035|375|183|233|70
2063|156|123|159|17
177|0|0|28|0
5576|34|18|133|18
5761|0|1|91|0
15265|156|173|143|32
8755|269|332|132|24
11125|238|146|151|48
10315|464|229|184|24
13004|40|43|23|4
15505|247|163|233|63
11185|96|148|162|41
2593|7|5|22|1
14507|16|7|20|3
2117|124|126|103|8
8962|38|69|142|13
7646|27|48|155|30
5245|11|16|94|17
1389|336|246|120|16
2458|8|31|23|9
10987|0|3|89|1
9551|20|15|55|4
3528|17|16|22|13
5704|168|139|205|23
9746|9|19|176|1
9334|137|144|249|8
5145|105|140|105|15
5533|32|5|17|3
1859|12|1|27|6
10833|8|3|19|0
14247|2|0|15|0
11474|11|12|27|4
14653|122|59|163|26
6669|21|43|61|2
4277|0|0|23|0
3122|238|248|202|24
3448|103|126|241|45
9014|25|118|49|10
904|75|99|137|19
9396|95|60|113|16
13021|21|24|71|19
14446|2|5|22|6
15590|18|7|63|1
15495|42|56|232|20
6426|30|25|60|4
14472|7|7|80|7
14251|63|54|105|7
10571|39|39|239|8
1351|2|4|83|2
298|161|53|154|24
9952|1|1|84|1
13931|1|2|133|0
1804|0|0|38|0
6502|28|20|142|9
15166|13|14|99|1
6282|81|39|144|4
1325|13|8|64|3
4704|118|51|146|0
12663|4|2|23|0
10643|19|30|129|10
13638|293|292|201|32
1921|35|21|40|0
13474|123|63|148|12
8553|24|26|50|1
15337|667|304|266|11
5770|11|19|74|4
9003|120|77|187|2
6781|214|174|169|7
14860|100|107|115|5
12185|32|23|75|7
28|49|49|172|9
11229|19|7|41|2
2609|37|23|106|5
5956|54|63|77|6
2617|53|33|50|3
14854|100|49|154|13
3780|38|30|91|0
10709|59|29|65|1
7098|21|17|85|3
3252|30|42|55|2
99|88|48|131|6
8964|0|5|108|1
3267|0|0|98|0
11285|303|170|157|23
13240|9|9|49|2
2722|50|22|84|14
10493|60|52|128|12
1853|21|19|77|0
4389|185|103|129|3
544|7|28|140|4
11578|7|4|36|1
11444|34|22|50|2
10988|104|89|179|19
10854|1|4|8|0
10802|2|1|49|3
5443|82|47|119|8
8072|7|1|10|1
8330|198|104|205|10
12291|42|18|102|5
6628|21|10|50|2
3226|21|9|39|0
15366|9|14|133|4
9391|14|11|123|3
7385|22|4|55|1
4392|53|44|103|2
5615|7|3|14|2
5783|22|12|140|9
11909|15|11|35|1
4959|29|25|191|4
13935|119|44|84|16
